baitID	intscore	rank	SIP
778093	210.64454983112	12697	0
63244	210.657000984318	12698	0
743438	210.724959396158	12699	0
368209	210.79664482526	12700	0
263323	210.878847799656	12701	0
288029	210.962713183748	12702	0
618359	211.024634597194	12703	0
761500	211.109765221438	12704	0
452585	211.164120771859	12705	0
444652	211.26386774626	12706	0
669455	211.369370380157	12707	0
7811	211.409832420252	12708	0
231918	211.628006409823	12709	0
170278	211.6485293136	12710	0
151012	211.656576525388	12711	0
435179	211.657990933924	12712	0
45355	211.801416378101	12713	0
361711	211.904698052583	12714	0
38177	212.091180847633	12715	0
155500	212.099354301754	12716	0
211704	212.175308750533	12717	0
674383	212.427440084046	12718	0
187687	212.49299357054	12719	0
19328	212.505357157822	12720	0
756541	212.532437529202	12721	0
639568	212.57475310118	12722	0
359473	213.088436784297	12723	0
390534	213.130957239602	12724	0
396147	213.296718509645	12725	0
330552	213.359470600704	12726	0
25529	213.521032614906	12727	0
225534	213.544174774906	12728	0
701990	213.544518151437	12729	0
93352	213.590696041441	12730	0
622780	213.613152633305	12731	0
512418	213.706224046134	12732	0
510594	213.711842251129	12733	0
497917	213.778886774308	12734	0
592044	213.854696105343	12735	0
145736	213.870287291555	12736	0
180681	214.072934666191	12737	0
354213	214.079093223095	12738	0
470106	214.103238328317	12739	0
612631	214.153235101912	12740	0
619788	214.235093202847	12741	0
614479	214.254320435789	12742	0
330502	214.527529062784	12743	0
39304	214.738938563899	12744	0
210941	214.820270308281	12745	0
527252	215.122724588049	12746	0
5845	215.158262833568	12747	0
352782	215.196810670397	12748	0
553577	215.205448393848	12749	0
640078	215.272325017458	12750	0
248581	215.280555120035	12751	0
64369	215.362666382157	12752	0
216304	215.716285433252	12753	0
284447	216.088503892942	12754	0
36308	216.120809253383	12755	0
4735	216.191768745508	12756	0
227286	216.334705005417	12757	0
544352	216.584451486991	12758	0
645014	216.610279583794	12759	0
41414	216.739384928499	12760	0
598909	216.743797273791	12761	0
255314	216.772885630839	12762	0
393559	217.188981622015	12763	0
78504	217.267770865241	12764	0
762278	217.458083493104	12765	0
378408	217.497712880445	12766	0
529678	217.506465458991	12767	0
80807	217.522592432371	12768	0
87118	217.641341325821	12769	0
448345	217.723146563578	12770	0
700640	217.733312805095	12771	0
211681	217.747185440121	12772	0
143544	217.836362187278	12773	0
158194	217.84030615376	12774	0
377951	217.939090901053	12775	0
439909	217.956854927977	12776	0
517918	218.311883190997	12777	0
157422	218.533792545031	12778	0
219678	218.543881886662	12779	0
216272	218.68889995763	12780	0
382426	218.97012064829	12781	0
651138	219.036794836789	12782	0
395975	219.159150753463	12783	0
672236	219.298414653706	12784	0
370394	219.338034725175	12785	0
210701	219.369321433242	12786	0
301527	219.438371046729	12787	0
479175	219.604383989285	12788	0
287340	219.672499334123	12789	0
273034	219.740240857107	12790	0
184763	219.775217008433	12791	0
35323	219.848024686532	12792	0
448208	220.00952673048	12793	0
6685	220.071881555498	12794	0
728173	220.141326993874	12795	0
674639	220.180891479174	12796	0
735486	220.228817072357	12797	0
30371	220.443213239586	12798	0
92085	220.461405198598	12799	0
120806	220.889219455072	12800	0
102844	221.010820258444	12801	0
10246	221.027951202008	12802	0
143522	221.12641291707	12803	0
492110	221.135855606999	12804	0
657156	221.284919582527	12805	0
477941	221.360042003392	12806	0
93624	221.665356292916	12807	0
162084	221.929563243076	12808	0
383597	221.967592283071	12809	0
295767	221.97796550899	12810	0
516868	221.991500154729	12811	0
718351	222.00006591292	12812	0
645073	222.040281128028	12813	0
122850	222.063658483992	12814	0
287304	222.073425294162	12815	0
479044	222.340713991887	12816	0
112447	222.426676220505	12817	0
730806	222.431021380734	12818	0
103258	222.444706480634	12819	0
491683	222.573638491865	12820	0
43643	222.711216665089	12821	0
157584	222.7332970123	12822	0
34768	222.812087711234	12823	0
710559	222.894959836624	12824	0
139778	222.906080223356	12825	0
579548	222.970280102695	12826	0
768700	223.054289204693	12827	0
136740	223.063788635097	12828	0
736360	223.175591877446	12829	0
143478	223.248075669748	12830	0
138893	223.380761433724	12831	0
619761	223.418049214528	12832	0
