baitID	intscore	rank	SIP	MKSpecific
330308	13.3029590749117	3370	0	0
330314	19.9946273072121	4563	0	0
330315	36.4647976505213	6625	0	0
330325	5.99196763479498	1268	0	0
330328	5.76974766358135	1080	0	0
330329	6.25582648476023	1443	0	0
330343	5.70684330781939	1014	0	0
330403	6.59000977158832	1639	0	0
330410	22.7475869804435	4962	0	0
330412	7.65056831121005	1987	0	0
330413	5.66053330488784	968	0	0
330420	5.48940717166554	776	0	0
330431	51.3053160187153	7892	0	0
330433	66.8003696150201	8875	0	0
330442	17.8832936093876	4168	0	0
330443	12.3316552052614	3107	0	0
330449	156.915654444135	11674	0	0
330450	45.7985853198067	7481	0	0
330452	6.17993547751964	1398	0	0
330464	6.5601643561849	1622	0	0
330470	5.72612499295462	1037	0	0
330476	27.9698299822066	5651	0	0
330484	23.239885621221	5048	0	0
330494	14.4717498337627	3576	0	0
330497	39.2884309477318	6928	0	0
330502	156.481480916418	11666	0	0
330504	63.2861562143523	8671	0	0
330518	69.1843300543989	9012	0	0
330529	20.9395318565773	4688	0	0
330534	174.547712266073	12006	0	0
330542	32.3441637662127	6150	0	0
330548	115.73997391729	10749	0	0
330552	179.777079261263	12074	0	0
330557	482.461005243669	13956	1	0
330558	41.6982674239042	7154	0	0
330574	40.6233718898162	7056	0	0
330583	312.959943472128	13372	1	1
330590	557.989014423658	14048	1	0
330594	82.8851497417072	9655	0	0
330598	97.0529967363433	10169	0	0
330603	19.7544900848918	4529	0	0
330641	34.2947769468444	6364	0	0
330713	51.9547047705158	7930	0	0
330724	6.49559977075817	1593	0	0
330767	6.21591967128869	1419	0	0
330866	5.44869839056106	713	0	0
330929	5.13832776676349	243	0	0
331047	13.1655930113061	3331	0	0
331059	9.21583137890481	2212	0	0
331071	5.00793392453194	13	0	0
331083	11.2657405800542	2668	0	0
331106	6.30060080854266	1477	0	0
331118	18.7372123688213	4355	0	0
331123	50.0569794742543	7812	0	0
331126	10.9077914199751	2528	0	0
331129	54.2432671030468	8097	0	0
331132	37.9739536879843	6779	0	0
331138	7.17205024110385	1871	0	0
331172	41.012354444286	7086	0	0
